user_id,problem_id,correctly_done
28483,6678,1
28483,6686,1
28483,6680,1
28460,6473,0
28483,6693,1
28483,6701,1
28483,6698,1
28468,18212,0
28483,6702,1
28468,20477,1
28468,18473,0
28483,6703,1
28483,6687,1
28483,6688,1
28483,6672,1
32590,323,0
28604,2627,1
28456,4223,0
28604,2609,1
28456,4224,1
28604,2610,1
28604,2639,1
25920,4223,1
25920,4231,1
28329,2673,1
25920,21508,0
28340,27288,0
25920,21320,1
25920,21512,0
28329,2680,1
25920,21506,0
28340,27289,1
28329,19803,0
28554,18212,0
28554,20477,0
28639,606,0
28554,20478,1
28663,4223,0
28663,4224,1
28554,18473,0
28654,606,1
28663,4231,0
28646,6473,0
28663,21320,1
28654,5411,0
28663,21279,0
28654,606,1
28654,5406,1
28663,21503,1
25940,323,1
28554,20480,0
28581,6473,0
25940,9495,1
28663,21509,0
25929,4223,1
28554,18473,1
25947,4223,1
25929,4231,1
28663,20358,1
25940,9484,0
28646,6474,0
25929,21277,0
28646,6477,0
28646,6478,1
28663,20359,1
28554,27297,0
25929,20359,0
28646,6481,0
28554,20477,1
28654,608,0
28646,6483,0
28646,6483,1
28654,610,1
28554,18255,1
28646,6473,1
28646,945,1
28663,4237,0
28646,6477,0
28646,6479,1
28654,613,0
28646,938,1
28646,940,0
28505,606,0
28646,942,1
28554,18214,0
28505,5403,1
28646,6470,1
28654,5419,1
28505,5411,1
25930,18212,0
28505,5402,0
28505,5411,1
28654,612,0
25930,20477,0
28663,4238,0
28505,604,0
28654,609,1
28505,5400,0
28505,5402,1
28492,5408,1
28492,5412,0
28562,18212,0
28562,20477,0
28562,20478,1
28562,18473,1
28458,4223,1
28458,4231,0
28521,9505,1
28521,9500,1
28654,5414,1
28554,4223,0
28554,18215,0
28554,18220,1
28554,18213,1
28554,27299,0
28554,18217,0
28554,18221,1
28554,23814,1
28554,18217,1
28554,18216,1
28554,18222,1
28554,18214,1
28554,23816,0
28554,27300,1
28554,27301,1
28554,27302,1
25940,325,1
25940,9493,0
25929,20359,1
25940,9489,0
25929,21511,0
25929,21282,1
25940,9494,1
25929,21284,0
25929,21287,0
25940,9488,0
25940,9495,0
25940,323,0
25940,325,0
25929,4225,0
