currentPoints,avatar_id,user_id
10,67,25705
0,NULL,25706
540,62,25707
0,NULL,25708
1026,57,25709
2246,57,25710
0,NULL,25711
0,NULL,25712
0,62,25713
0,NULL,25714
0,NULL,25715
0,NULL,25716
0,NULL,25717
1070,57,25718
0,NULL,25719
785,72,25720
0,NULL,25721
0,NULL,25722
280,82,25723
0,NULL,25724
240,82,25725
0,NULL,25726
0,NULL,25727
0,NULL,25728
0,NULL,25729
200,57,25730
0,NULL,25731
9108,63,25732
4917,67,25733
0,NULL,25734
0,62,25735
0,NULL,25736
0,NULL,25737
950,67,25738
0,NULL,25739
0,NULL,25740
140,57,25741
0,62,25742
10,82,25743
0,NULL,25744
9701,73,25745
45894,80,25746
750,82,25747
0,NULL,25748
7309,82,25749
5606,62,25750
512,77,25751
135,62,25752
0,NULL,25753
3817,62,25754
1108,77,25755
0,62,25756
0,NULL,25757
1707,82,25758
1392,72,25759
1400,57,25760
330,57,25761
0,NULL,25762
0,NULL,25763
4503,72,25764
382,82,25765
1771,72,25782
3295,72,25783
2134,57,25784
1492,82,25785
3299,77,25786
1126,67,25787
3187,72,25788
3650,82,25789
0,62,25790
10194,58,25791
1365,82,25792
1510,67,25793
1410,67,25794
0,57,25795
0,82,25796
2205,82,25797
5078,72,25798
1915,77,25799
1582,72,25800
788,67,25801
2666,77,25802
4419,57,25803
4128,77,25804
727,77,25805
2750,77,25806
5797,57,25807
4123,82,25808
2021,72,25809
3200,82,25810
1962,62,25811
3540,72,25812
1137,72,25813
919,57,25814
1861,77,25815
6294,77,25816
1518,82,25817
2586,57,25818
300,77,25819
1143,67,25820
1905,67,25821
3640,62,25822
2101,67,25823
1748,77,25824
960,77,25825
4082,72,25826
0,NULL,25827
2485,77,25828
3217,57,25829
2283,72,25830
1665,57,25831
2656,82,25832
140,82,25833
2383,57,25834
2419,62,25835
3133,67,25836
3147,72,25837
1830,82,25838
0,NULL,25839
3944,57,25840
4588,77,25841
3153,72,25842
0,NULL,25843
5059,77,25844
4338,57,25845
246,82,25846
2161,57,25847
4765,62,25848
2506,72,25849
1913,72,25850
9210,73,25851
1864,72,25852
445,72,25853
940,57,25854
1320,72,25855
4476,72,25856
568,62,25857
0,82,25858
1676,77,25859
3545,72,25860
900,57,25861
2236,77,25862
1080,67,25863
405,62,25864
905,82,25865
1832,82,25866
