user_id,activityLoop_id,interactionTime
25983,4,"2017-08-22 09:12:03"
25983,9,"2017-08-22 09:12:40"
25983,1,"2017-08-22 09:12:41"
25983,4,"2017-08-22 09:12:41"
28608,4,"2017-08-22 09:13:01"
28604,4,"2017-08-22 09:16:38"
28608,4,"2017-08-22 09:17:30"
28604,4,"2017-08-22 09:19:31"
28604,9,"2017-08-22 09:19:55"
28604,4,"2017-08-22 09:19:56"
28604,4,"2017-08-22 09:20:53"
28604,4,"2017-08-22 09:23:34"
25978,4,"2017-08-22 09:25:43"
25978,3,"2017-08-22 09:25:43"
25978,21,"2017-08-22 09:25:43"
28505,4,"2017-08-22 09:26:39"
28604,4,"2017-08-22 09:27:25"
28505,4,"2017-08-22 09:29:35"
28505,9,"2017-08-22 09:32:21"
28505,4,"2017-08-22 09:32:22"
28505,4,"2017-08-22 09:37:32"
28505,4,"2017-08-22 09:38:08"
28505,9,"2017-08-22 09:40:37"
28505,4,"2017-08-22 09:40:38"
28505,1,"2017-08-22 09:42:36"
28505,4,"2017-08-22 09:42:36"
28505,16,"2017-08-22 09:47:43"
28505,4,"2017-08-22 09:48:56"
28505,4,"2017-08-22 09:51:08"
28505,9,"2017-08-22 09:51:34"
28505,4,"2017-08-22 09:51:35"
28505,4,"2017-08-22 09:52:56"
28505,4,"2017-08-22 09:54:09"
28505,1,"2017-08-22 09:56:13"
28505,4,"2017-08-22 09:56:13"
28505,4,"2017-08-22 09:58:09"
28604,9,"2017-08-22 09:59:10"
28604,4,"2017-08-22 09:59:11"
28604,4,"2017-08-22 10:00:26"
28604,1,"2017-08-22 10:03:19"
28604,4,"2017-08-22 10:03:19"
28505,4,"2017-08-22 10:05:58"
28505,9,"2017-08-22 10:06:33"
28505,4,"2017-08-22 10:06:34"
28604,9,"2017-08-22 10:10:23"
28604,4,"2017-08-22 10:10:24"
28604,4,"2017-08-22 10:12:01"
28505,4,"2017-08-22 10:12:29"
28505,4,"2017-08-22 10:15:33"
28604,4,"2017-08-22 10:16:13"
28604,2,"2017-08-22 10:16:13"
28604,20,"2017-08-22 10:16:13"
28604,4,"2017-08-22 10:17:47"
28604,4,"2017-08-22 10:28:54"
28604,4,"2017-08-22 10:30:54"
28604,9,"2017-08-22 10:31:47"
28604,4,"2017-08-22 10:31:48"
28604,4,"2017-08-22 10:34:27"
28604,4,"2017-08-22 10:39:55"
28604,9,"2017-08-22 10:48:22"
28604,4,"2017-08-22 10:48:22"
28483,4,"2017-08-22 10:48:45"
28483,4,"2017-08-22 10:50:07"
28604,4,"2017-08-22 10:50:30"
28483,9,"2017-08-22 10:50:48"
28483,4,"2017-08-22 10:50:49"
28483,4,"2017-08-22 10:51:40"
28483,4,"2017-08-22 10:52:28"
28483,1,"2017-08-22 10:53:02"
28483,4,"2017-08-22 10:53:02"
28483,4,"2017-08-22 10:53:59"
28483,4,"2017-08-22 10:54:29"
28483,4,"2017-08-22 10:55:11"
28483,2,"2017-08-22 10:55:11"
28483,20,"2017-08-22 10:55:11"
28483,4,"2017-08-22 10:56:54"
28483,4,"2017-08-22 10:57:30"
28483,3,"2017-08-22 10:57:30"
28483,21,"2017-08-22 10:57:30"
28604,4,"2017-08-22 10:58:21"
28492,4,"2017-08-22 10:59:49"
28483,4,"2017-08-22 11:00:25"
28483,4,"2017-08-22 11:00:56"
28483,9,"2017-08-22 11:02:08"
28483,4,"2017-08-22 11:02:09"
28483,4,"2017-08-22 11:03:38"
28483,4,"2017-08-22 11:04:33"
28483,9,"2017-08-22 11:06:00"
28483,4,"2017-08-22 11:06:01"
28483,4,"2017-08-22 11:06:29"
28483,4,"2017-08-22 11:07:18"
28483,9,"2017-08-22 11:08:37"
28483,1,"2017-08-22 11:08:38"
28483,4,"2017-08-22 11:08:38"
28483,4,"2017-08-22 11:11:13"
28460,16,"2017-08-22 11:11:27"
28468,4,"2017-08-22 11:11:36"
28483,4,"2017-08-22 11:12:23"
28483,4,"2017-08-22 11:12:54"
28483,2,"2017-08-22 11:12:54"
28483,4,"2017-08-22 11:13:28"
28483,4,"2017-08-22 11:14:17"
28483,3,"2017-08-22 11:14:17"
28604,9,"2017-08-22 11:26:24"
28604,1,"2017-08-22 11:26:24"
28604,4,"2017-08-22 11:26:24"
28604,4,"2017-08-22 11:32:01"
28456,4,"2017-08-22 11:32:39"
28604,4,"2017-08-22 11:34:14"
28604,4,"2017-08-22 11:35:21"
28604,2,"2017-08-22 11:35:21"
25920,4,"2017-08-22 11:37:33"
25920,4,"2017-08-22 11:40:52"
28329,4,"2017-08-22 11:41:04"
25920,5,"2017-08-22 11:41:31"
25920,4,"2017-08-22 11:43:27"
